,n_exposures,max_similarity_to_exposer,have_belief,references,pl2,n_existing_beliefs,in_deads,n_fresh_candidates,startup,treatment,game_player_clue_id,game_player_id,game_id,start,stop,adopt_event,forget_event,treatment_n_exposures,treatment_references,treatment_pl2,treatment_n_existing_beliefs,treatment_n_fresh_candidates,treatment_max_similarity_to_exposer,treatment_in_deads,mse_game_2020_02_25T20_36_00_288Z,treatment_mse_game_2020_02_25T20_36_00_288Z,control_mse_game_2020_02_25T20_36_00_288Z
56,1,0.7692307692307693,False,0,0.0,11,True,0,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_11,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,391.131,440.018,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7692307692307693,0.0,0.7692307692307693
57,1,0.8888888888888888,False,1,0.0,12,False,1,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_8,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,232.849,233.918,0.0,False,0,0,0.0,0,0,0.0,0.0,0.8888888888888888,0.0,0.8888888888888888
58,1,0.7777777777777778,False,1,0.0,11,False,1,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_8,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,233.918,241.002,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7777777777777778,0.0,0.7777777777777778
59,1,0.7777777777777778,False,1,0.0,11,False,2,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_8,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,241.002,242.65,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7777777777777778,0.0,0.7777777777777778
60,1,0.7777777777777778,False,1,0.0,10,False,2,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_8,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,242.65,247.799,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7777777777777778,0.0,0.7777777777777778
61,1,0.7777777777777778,False,1,0.0,11,False,1,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_8,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,247.799,251.417,1.0,False,0,0,0.0,0,0,0.0,0.0,0.7777777777777778,0.0,0.7777777777777778
62,1,0.8333333333333334,False,1,0.0,10,False,2,False,False,2020_02_25T20_36_00_288Z_c10_cclue_2_10,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,204.88,207.756,0.0,False,0,0,0.0,0,0,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334
63,1,0.8333333333333334,False,1,0.0,11,False,1,False,False,2020_02_25T20_36_00_288Z_c10_cclue_2_10,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,207.756,210.217,1.0,False,0,0,0.0,0,0,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334
64,1,0.7777777777777778,False,2,0.0,10,False,1,False,False,2020_02_25T20_36_00_288Z_c10_cclue_2_13,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,181.629,182.299,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7777777777777778,0.0,0.7777777777777778
65,1,0.6666666666666666,False,1,0.0,9,False,1,False,False,2020_02_25T20_36_00_288Z_c10_cclue_2_13,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,182.299,201.736,1.0,False,0,0,0.0,0,0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666
66,1,0.875,False,0,0.0,10,False,1,False,False,2020_02_25T20_36_00_288Z_c10_cclue_2_8,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,203.313,204.88,0.0,False,0,0,0.0,0,0,0.0,0.0,0.875,0.0,0.875
67,1,0.875,False,0,0.0,10,False,2,False,False,2020_02_25T20_36_00_288Z_c10_cclue_2_8,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,204.88,207.756,1.0,False,0,0,0.0,0,0,0.0,0.0,0.875,0.0,0.875
68,1,0.7142857142857143,False,2,0.0,13,False,1,False,False,2020_02_25T20_36_00_288Z_c11_cclue_1_12,2020_02_25T20_36_00_288Z_c11,2020_02_25T20_36_00_288Z,263.975,281.185,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143
69,1,0.7142857142857143,False,2,0.0,13,False,2,False,False,2020_02_25T20_36_00_288Z_c11_cclue_1_12,2020_02_25T20_36_00_288Z_c11,2020_02_25T20_36_00_288Z,281.185,283.187,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143
70,1,0.7142857142857143,False,2,0.0,13,False,3,False,False,2020_02_25T20_36_00_288Z_c11_cclue_1_12,2020_02_25T20_36_00_288Z_c11,2020_02_25T20_36_00_288Z,283.187,288.086,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143
71,1,0.7142857142857143,False,2,0.0,13,False,2,False,False,2020_02_25T20_36_00_288Z_c11_cclue_1_12,2020_02_25T20_36_00_288Z_c11,2020_02_25T20_36_00_288Z,288.086,288.626,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143
72,1,0.7142857142857143,False,2,0.0,13,False,3,False,False,2020_02_25T20_36_00_288Z_c11_cclue_1_12,2020_02_25T20_36_00_288Z_c11,2020_02_25T20_36_00_288Z,288.626,290.584,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143
73,1,0.7142857142857143,False,2,0.0,14,False,2,False,False,2020_02_25T20_36_00_288Z_c11_cclue_1_12,2020_02_25T20_36_00_288Z_c11,2020_02_25T20_36_00_288Z,290.584,328.573,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143
74,1,0.7142857142857143,False,2,0.0,14,True,1,False,False,2020_02_25T20_36_00_288Z_c11_cclue_1_12,2020_02_25T20_36_00_288Z_c11,2020_02_25T20_36_00_288Z,328.573,392.47,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143
75,1,0.7142857142857143,False,2,0.0,14,True,2,False,False,2020_02_25T20_36_00_288Z_c11_cclue_1_12,2020_02_25T20_36_00_288Z_c11,2020_02_25T20_36_00_288Z,392.47,416.927,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143
76,1,0.7142857142857143,False,2,0.0,15,True,1,False,False,2020_02_25T20_36_00_288Z_c11_cclue_1_12,2020_02_25T20_36_00_288Z_c11,2020_02_25T20_36_00_288Z,416.927,421.629,0.0,False,0,0,0.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143
